Code,Mood,File,Duration,BPM,Key,Hex,Group
Gentle Presence01A,At Ease,050_At Ease.m4a,127.32,172.3,Bb,#86d826,Gentle Presence
Gentle Uplift01A,Complacent,045_Complacent.m4a,112.0,103.4,G,#d8ae26,Gentle Uplift
Heartfelt Connection01A,Buoyant,024_Buoyant.m4a,155.96,92.3,G,#c7d826,Heartfelt Connection
Curious Expansion01A,Curious,285_Curious.m4a,120.08,89.1,E,#8026d8,Curious Expansion
Imaginative Immersion01A,Innovative,252_Innovative.m4a,90.64,117.5,A,#d726d8,Imaginative Immersion
Poignant Sorrow01A,Wistful,168_Wistful.m4a,129.96,161.5,F,#269fd8,Poignant Sorrow
Internal Agitation / Subtlety01A,Minimalist,322_Minimalist.m4a,65.96,86.1,G,#d82682,Internal Agitation / Subtlety
Absolute Stability01A,Serene,051_Serene.m4a,128.92,99.4,Bb,#26d858,Absolute Stability
Imaginative Immersion02A,Mesmerizing,260_Mesmerizing.m4a,122.28,161.5,F,#c226d8,Imaginative Immersion
Overwhelming Reality Shift01A,Disorienting,196_Disorienting.m4a,119.92,103.4,F#,#6026d8,Overwhelming Reality Shift
Mounting Dread and Suspense01A,Creeping,123_Creeping.m4a,143.48,136.0,Bb,#26d88f,Mounting Dread and Suspense
Abstract / Meta / Evocative01A,Abstract,298_Abstract.m4a,69.4,83.4,A,#d82646,Abstract / Meta / Evocative
Overwhelming Terror and Confusion01A,Paranoid,098_Paranoid.m4a,70.24,112.3,G,#26d6d8,Overwhelming Terror and Confusion
Profound Vision01A,Awakening,233_Awakening.m4a,124.0,172.3,Ab,#d826a8,Profound Vision
Subtle Unease and Uncertainty01A,Uneasy,139_Uneasy.m4a,119.8,89.1,F,#26d863,Subtle Unease and Uncertainty
Heartfelt Connection02A,Affectionate,025_Affectionate.m4a,130.84,161.5,Bb,#ccd826,Heartfelt Connection
Rage / Volatility01A,Explosive,342_Explosive.m4a,144.76,83.4,Ab,#d89826,Rage / Volatility
Abstract / Meta / Evocative02A,Timeless,288_Timeless.m4a,125.4,78.3,Bb,#d8262b,Abstract / Meta / Evocative
Gentle Presence02A,Gentle,090_Gentle.m4a,153.32,89.1,E,#70d826,Gentle Presence
Expressive / Concrete Style01A,Textural,309_Textural.m4a,82.12,172.3,C,#d82662,Expressive / Concrete Style
Vibrant Celebration01A,Effervescent,012_Effervescent.m4a,105.32,89.1,D,#a6d826,Vibrant Celebration
Gentle Uplift02A,Playful,037_Playful.m4a,86.08,184.6,G,#d8c326,Gentle Uplift
Profound Vision02A,Futuristic,242_Futuristic.m4a,177.28,89.1,Eb,#d826be,Profound Vision
Absolute Stability02A,Anchored,055_Anchored.m4a,164.88,152.0,F#,#26d84e,Absolute Stability
Expressive / Concrete Style02A,Clinical,305_Clinical.m4a,120.64,95.7,F#,#d8265c,Expressive / Concrete Style
Gentle Awakening01A,Dreamy,230_Dreamy.m4a,119.92,161.5,C,#2648d8,Gentle Awakening
Rage / Volatility02A,Riotous,343_Riotous.m4a,43.84,103.4,G,#d89226,Rage / Volatility
Profound Despair01A,Anguish,144_Anguish.m4a,134.48,86.1,F,#2658d8,Profound Despair
Internal Agitation01A,Tense,378_Tense.m4a,109.96,161.5,F,#d83626,Internal Agitation
Abstract / Meta / Evocative03A,Underground,294_Underground.m4a,134.96,161.5,B,#d8263b,Abstract / Meta / Evocative
Personal Security01A,Connected,069_Connected.m4a,120.0,161.5,G,#2fd826,Personal Security
Expressive / Concrete Style03A,Grounded,318_Grounded.m4a,113.92,161.5,F,#d82677,Expressive / Concrete Style
Imaginative Immersion03A,Lush,254_Lush.m4a,141.0,80.7,Bb,#d226d8,Imaginative Immersion
Internal Agitation / Subtlety02A,Objective,324_Objective.m4a,127.0,161.5,B,#d82688,Internal Agitation / Subtlety
Gentle Awakening02A,Weightless,226_Weightless.m4a,142.64,89.1,C#,#263dd8,Gentle Awakening
Expressive / Concrete Style04A,Reflective,180_Reflective.m4a,129.88,78.3,F,#d82667,Expressive / Concrete Style
Vibrant Celebration02A,Radiant,014_Radiant.m4a,182.04,86.1,A,#acd826,Vibrant Celebration
Abstract / Meta / Evocative04A,Raw,302_Raw.m4a,113.2,172.3,F#,#d82651,Abstract / Meta / Evocative
Personal Security02A,Nurturing,083_Nurturing.m4a,153.08,152.0,D,#34d826,Personal Security
Mounting Dread and Suspense02A,Haunting,108_Haunting.m4a,122.96,80.7,F#,#26d8ba,Mounting Dread and Suspense
Internal Agitation / Subtlety03A,Neutral,336_Neutral.m4a,99.08,161.5,B,#d826a3,Internal Agitation / Subtlety
Imaginative Immersion04A,Enchanted,264_Enchanted.m4a,95.44,161.5,G,#bc26d8,Imaginative Immersion
Curious Expansion02A,Whimsical,225_Whimsical.m4a,76.36,86.1,B,#8b26d8,Curious Expansion
Vivid Discovery01A,Luminescent,208_Luminescent.m4a,60.0,161.5,C,#3f26d8,Vivid Discovery
Gentle Uplift03A,Mellow,047_Mellow.m4a,152.8,161.5,A,#d8a826,Gentle Uplift
Familiar Melancholy01A,Languid,174_Languid.m4a,97.52,161.5,F#,#26afd8,Familiar Melancholy
Gentle Presence03A,Cozy,081_Cozy.m4a,69.04,161.5,Bb,#55d826,Gentle Presence
Absolute Stability03A,Assured,062_Assured.m4a,120.72,161.5,Ab,#26d83d,Absolute Stability
Rage / Volatility03A,Frenzied,338_Frenzied.m4a,78.68,184.6,Eb,#d8a326,Rage / Volatility
Profound Despair02A,Somber,146_Somber.m4a,124.52,161.5,Ab,#265ed8,Profound Despair
Rage / Volatility04A,Wrathful,340_Wrathful.m4a,79.96,117.5,F,#d89d26,Rage / Volatility
Absolute Stability04A,Harmonious,063_Harmonious.m4a,121.4,86.1,Ab,#26d832,Absolute Stability
Internal Agitation / Subtlety04A,Structured,320_Structured.m4a,141.2,161.5,C,#d8267d,Internal Agitation / Subtlety
Curious Expansion03A,Hopeful,043_Hopeful.m4a,101.16,89.1,C#,#9c26d8,Curious Expansion
Heartfelt Connection03A,Cheerful,032_Cheerful.m4a,98.88,92.3,G,#d8d426,Heartfelt Connection
Internal Agitation / Subtlety05A,Observational,332_Observational.m4a,92.72,172.3,A,#d8269d,Internal Agitation / Subtlety
Profound Vision03A,Enigmatic,237_Enigmatic.m4a,118.44,89.1,F,#d826b3,Profound Vision
Overwhelming Terror and Confusion02A,Hypnotic,105_Hypnotic.m4a,114.76,99.4,Bb,#26d8c0,Overwhelming Terror and Confusion
Gentle Presence04A,Comfortable,095_Comfortable.m4a,134.52,86.1,Eb,#80d826,Gentle Presence
